student_id,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Admission grade,attendance_percentage,ct1_score,ct2_score,assignment_average,quiz_average,lms_login_frequency,lms_resource_access,late_submission_count,academic_trend,academic_risk
STU0001,0,0.0,0,0,127.3,54.4,10.4,52.9,40.0,38.9,1.1,20.2,7,Declining,1.0
STU0002,6,14.0,6,6,142.5,72.5,72.9,71.2,51.0,55.1,4.4,55.7,3,Stable,0.0
STU0003,0,0.0,6,0,124.8,64.7,51.2,50.2,58.0,64.5,3.5,18.7,8,Declining,1.0
STU0004,6,13.428571428571429,6,8,119.6,53.6,67.6,56.7,61.3,69.6,5.7,69.6,4,Stable,0.0
STU0005,5,12.333333333333334,6,9,141.5,61.8,52.1,51.7,68.4,40.1,1.3,55.8,4,Stable,0.0
STU0006,5,11.857142857142858,5,10,114.8,59.6,42.7,68.2,56.1,45.3,3.9,49.1,3,Declining,0.0
STU0007,7,13.3,7,9,128.4,60.3,54.3,77.0,68.9,49.7,5.2,54.4,4,Declining,0.0
STU0008,0,0.0,5,5,113.1,52.4,42.3,57.9,30.7,29.0,3.2,25.3,7,Declining,1.0
STU0009,6,13.875,6,8,129.3,51.4,46.5,61.8,58.5,51.0,4.7,55.8,4,Improving,0.0
STU0010,5,11.4,6,9,123.0,62.2,39.9,53.7,44.8,45.8,3.6,72.7,8,Declining,1.0
STU0011,6,12.333333333333334,6,6,130.6,66.2,57.3,62.7,50.2,53.7,0.2,43.3,3,Declining,0.0
STU0012,7,13.214285714285714,8,8,119.3,58.8,55.6,65.3,56.7,53.7,6.5,56.8,3,Stable,0.0
STU0013,0,0.0,6,6,130.2,51.7,47.0,34.1,31.2,52.7,2.8,19.7,6,Stable,1.0
STU0014,6,10.571428571428571,6,7,111.8,65.2,68.3,50.8,38.8,42.9,2.6,12.9,5,Declining,0.0
STU0015,4,13.25,5,7,137.1,66.3,60.8,90.1,63.7,32.5,3.3,60.0,2,Declining,0.0
STU0016,5,13.2,6,6,120.7,52.8,37.4,49.4,37.6,47.2,4.1,67.8,6,Stable,1.0
STU0017,1,12.0,6,10,137.4,68.9,47.2,60.6,67.9,42.2,3.9,53.0,4,Stable,
STU0018,7,13.30625,7,8,127.3,73.0,58.0,50.2,48.2,72.8,2.4,89.5,7,Declining,0.0
STU0019,4,12.5,5,8,136.3,59.1,59.8,51.6,59.1,62.2,2.5,44.7,6,Declining,0.0
STU0020,6,11.666666666666666,7,7,124.6,79.1,61.3,42.9,60.5,68.5,4.4,37.9,5,Declining,
STU0021,0,0.0,0,0,120.3,58.6,34.3,27.0,28.9,49.6,1.3,47.8,6,Declining,0.0
STU0022,7,11.4375,7,14,121.8,69.3,46.8,63.1,60.3,30.9,1.8,72.3,3,Stable,
STU0023,7,12.857142857142858,8,12,125.5,72.9,65.7,62.6,58.2,45.1,3.1,71.3,3,Stable,0.0
STU0024,6,13.375,6,8,114.9,58.4,57.1,77.6,61.9,36.4,3.9,37.2,2,Stable,0.0
STU0025,6,13.296666666666669,7,8,123.9,63.8,55.9,55.8,67.6,73.1,2.0,42.8,2,Stable,0.0
STU0026,5,11.6,6,8,157.0,70.1,41.8,55.1,61.7,62.3,5.7,25.6,5,Stable,
STU0027,6,11.375,6,9,116.4,59.3,76.2,53.5,45.6,57.7,5.2,81.0,5,Stable,0.0
STU0028,5,12.666666666666666,5,9,131.0,63.0,54.2,42.6,53.1,46.3,4.9,37.9,2,Declining,
STU0029,5,12.0,5,6,122.1,70.0,49.2,60.3,45.3,46.8,3.8,32.2,4,Stable,0.0
STU0030,6,12.933333333333332,7,9,118.8,69.0,55.3,53.3,49.7,43.9,2.4,51.5,3,Stable,
STU0031,5,11.857142857142858,6,15,150.0,66.1,49.9,37.2,59.5,61.2,2.8,53.7,6,Improving,
