student_id,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Admission grade,semester,attendance_percentage,ca1_score,ca2_score,ca3_score,best_2_ca_average,mid_term_score,previous_semester_tgpa,academic_trend,academic_risk
STU0001,0,0.0,0,0,127.3,2,42.4,5.3,8.9,5.1,7.1,11.3,3.97,Stable,1.0
STU0002,6,14.0,6,6,142.5,4,58.4,15.1,15.9,16.8,16.4,9.6,6.08,Stable,0.0
STU0003,0,0.0,6,0,124.8,6,50.6,6.8,8.8,3.4,7.8,5.0,3.96,Stable,0.0
STU0004,6,13.428571428571429,6,8,119.6,2,55.9,24.0,16.3,15.2,20.2,12.5,6.17,Stable,0.0
STU0005,5,12.333333333333334,6,9,141.5,5,76.9,15.3,13.2,10.6,14.2,19.4,4.27,Improving,0.0
STU0006,5,11.857142857142858,5,10,114.8,4,67.1,12.1,16.4,8.5,14.2,15.9,5.87,Stable,1.0
STU0007,7,13.3,7,9,128.4,4,72.9,13.1,12.5,14.6,13.8,5.0,6.57,Declining,0.0
STU0008,0,0.0,5,5,113.1,1,35.0,0.8,7.8,14.4,11.1,3.4,,Stable,1.0
STU0009,6,13.875,6,8,129.3,5,56.3,24.3,24.0,20.8,24.2,20.4,6.78,Stable,0.0
STU0010,5,11.4,6,9,123.0,7,65.8,7.8,6.8,16.4,12.1,4.5,6.52,Declining,0.0
STU0011,6,12.333333333333334,6,6,130.6,1,92.5,17.7,20.1,25.0,22.6,21.4,,Improving,0.0
STU0012,7,13.214285714285714,8,8,119.3,3,68.5,18.8,19.2,15.0,19.0,21.3,7.34,Stable,0.0
STU0013,0,0.0,6,6,130.2,1,63.2,4.7,4.4,4.0,4.6,5.0,,Stable,1.0
STU0014,6,10.571428571428571,6,7,111.8,1,67.9,11.5,15.8,20.8,18.3,10.7,,Stable,0.0
STU0015,4,13.25,5,7,137.1,8,74.0,13.2,13.1,14.8,14.0,10.4,6.2,Declining,1.0
STU0016,5,13.2,6,6,120.7,4,78.4,10.7,6.3,17.1,13.9,8.5,6.03,Declining,0.0
STU0017,1,12.0,6,10,137.4,3,67.0,11.6,10.2,23.4,17.5,8.9,6.51,Declining,1.0
STU0018,7,13.30625,7,8,127.3,2,62.7,19.4,11.2,10.1,15.3,13.8,7.02,Stable,1.0
STU0019,4,12.5,5,8,136.3,8,87.0,16.9,18.1,17.7,17.9,18.4,6.1,Stable,0.0
STU0020,6,11.666666666666666,7,7,124.6,2,70.3,12.2,14.7,15.4,15.0,7.0,6.07,Stable,1.0
STU0021,0,0.0,0,0,120.3,5,63.4,5.4,9.1,5.4,7.2,3.2,3.32,Declining,0.0
STU0022,7,11.4375,7,14,121.8,2,61.4,15.9,17.6,13.7,16.8,14.9,6.98,Stable,0.0
STU0023,7,12.857142857142858,8,12,125.5,1,89.4,16.9,20.2,18.4,19.3,23.3,,Improving,0.0
STU0024,6,13.375,6,8,114.9,5,72.9,18.5,9.9,16.9,17.7,16.2,6.29,Stable,0.0
STU0025,6,13.296666666666669,7,8,123.9,1,74.0,9.2,7.2,15.6,12.4,8.4,,Improving,1.0
