feature,mean_absolute_shap
mid_term_score,0.24382377
academic_trend=Declining,0.22296242
academic_trend=Improving,0.11523164
previous_semester_tgpa,0.07299534
ca_average,0.06900247
attendance_percentage,0.0664618
attendance_best2_interaction,0.06380852
ca2_score,0.058237616
attendance_midterm_interaction,0.057681732
best_2_ca_average,0.041780524
tgpa_best2_interaction,0.039466016
ca1_score,0.031953022
ca_consistency,0.030364176
ca_improvement,0.024738144
ca3_score,0.023325574
semester,0.0100372005
academic_trend=Stable,0.00037436202
previous_tgpa_available,0.0
previous_semester_tgpa_missing,0.0
missingindicator_tgpa_best2_interaction,0.0
