feature,shap_value,direction
academic_trend=Declining,0.35331953,increases_risk
previous_semester_tgpa,-0.18980363,reduces_risk
attendance_percentage,-0.12363535,reduces_risk
tgpa_best2_interaction,-0.084351234,reduces_risk
academic_trend=Improving,0.06652569,increases_risk
mid_term_score,0.045138273,increases_risk
ca3_score,0.043604568,increases_risk
best_2_ca_average,0.043503888,increases_risk
ca_average,-0.042642936,reduces_risk
attendance_midterm_interaction,-0.033953216,reduces_risk
ca_consistency,-0.02597613,reduces_risk
ca1_score,-0.009416217,reduces_risk
ca2_score,-0.006557123,reduces_risk
attendance_best2_interaction,0.005996041,increases_risk
semester,-0.0041261395,reduces_risk
ca_improvement,-0.0012891276,reduces_risk
academic_trend=Stable,0.00015222488,increases_risk
previous_tgpa_available,0.0,reduces_risk
previous_semester_tgpa_missing,0.0,reduces_risk
missingindicator_tgpa_best2_interaction,0.0,reduces_risk
