feature,importance
mid_term_score,0.32242042
academic_trend=Declining,0.107118666
attendance_midterm_interaction,0.107041255
academic_trend=Improving,0.07200516
attendance_best2_interaction,0.0602922
ca_average,0.059858453
best_2_ca_average,0.036680434
previous_semester_tgpa,0.03267281
tgpa_best2_interaction,0.03258725
ca2_score,0.029941216
ca_improvement,0.027994962
ca1_score,0.02785056
attendance_percentage,0.027678696
ca3_score,0.023722809
semester,0.015560113
ca_consistency,0.015075959
academic_trend=Stable,0.0014990708
previous_tgpa_available,0.0
previous_semester_tgpa_missing,0.0
missingindicator_tgpa_best2_interaction,0.0
