StudentID,CGPA,Internships,Projects,Certifications,AptitudeTestScore,SoftSkillsScore,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,Gender,Stream,PlacementStatus
STU_00001,7.8,0,1,0,83.0,55.5,0,1,85.0,74.9,Male,Civil,Placed
STU_00002,7.16,0,1,1,56.8,50.8,1,1,88.0,72.4,Female,Electronics,Not Placed
STU_00003,7.95,0,4,0,54.2,68.6,0,0,78.0,64.4,Male,Electronics,Placed
STU_00004,8.82,0,2,1,66.4,75.8,0,1,73.8,94.1,Female,Mechanical,Placed
STU_00005,7.07,1,1,1,82.4,58.5,1,1,70.1,70.7,Female,Information Technology,Placed
STU_00006,7.07,0,2,0,52.6,78.3,0,1,85.0,68.2,Female,Computer Science,Placed
STU_00007,8.88,0,1,0,85.7,72.5,1,1,84.6,72.7,Male,Civil,Placed
STU_00008,8.07,1,2,2,45.4,79.8,0,0,79.8,95.0,Male,Information Technology,Placed
STU_00009,6.83,0,1,0,66.3,83.3,1,0,81.0,68.8,Female,Computer Science,Placed
STU_00010,7.84,1,1,1,48.8,88.1,0,1,94.0,74.7,Female,Information Technology,Placed
STU_00011,6.84,1,2,2,,79.2,0,0,88.2,48.0,Male,Information Technology,Placed
STU_00012,6.83,0,2,1,75.5,68.5,1,1,63.8,85.8,Female,Information Technology,Placed
STU_00013,7.54,1,3,1,67.3,74.3,0,1,86.9,71.9,Female,Electronics,Placed
STU_00014,5.39,1,1,2,49.0,100.0,0,1,91.8,85.0,Male,Mechanical,Placed
STU_00015,5.58,0,3,0,62.3,83.8,0,0,69.8,82.0,Female,Electronics,Placed
STU_00016,6.74,0,1,0,76.6,72.9,0,1,87.5,76.7,Male,Information Technology,Placed
STU_00017,6.29,1,1,2,64.5,70.2,1,1,99.0,70.1,Male,Electronics,Placed
STU_00018,7.61,2,3,2,67.0,64.8,0,1,82.8,75.7,Male,Civil,Placed
STU_00019,6.39,1,2,0,64.0,57.8,0,1,75.6,60.3,Female,Civil,Placed
STU_00020,5.89,0,1,0,61.3,92.5,1,1,77.0,77.5,Male,Civil,Placed
STU_00021,8.77,1,1,0,61.1,77.7,0,1,79.3,81.1,Male,Civil,Placed
STU_00022,7.07,0,2,2,60.6,56.8,0,1,62.2,75.9,Male,Information Technology,Placed
STU_00023,7.37,1,2,1,58.7,70.5,0,1,61.8,75.4,Male,Computer Science,Placed
STU_00024,5.88,1,4,2,54.7,87.2,0,0,80.7,68.3,Female,Mechanical,Placed
STU_00025,6.76,1,2,3,64.3,66.6,1,1,77.5,73.2,Female,Computer Science,Placed
STU_00026,7.41,2,3,2,60.4,62.2,1,0,84.6,62.9,Female,Mechanical,Placed
STU_00027,6.15,1,2,1,53.9,76.3,1,0,75.2,69.0,Male,Computer Science,Placed
STU_00028,7.68,1,3,0,81.5,79.9,1,1,78.8,97.7,Female,Civil,Not Placed
STU_00029,6.7,0,0,0,88.5,66.7,1,0,87.5,76.0,Female,Civil,Placed
STU_00030,7.01,2,3,1,70.0,64.8,1,1,55.2,80.3,Male,Electronics,Placed
STU_00031,6.7,2,1,0,71.0,77.5,1,1,68.8,74.7,Female,Electronics,Placed
STU_00032,9.15,0,3,0,59.6,58.5,0,0,72.8,75.7,Male,Information Technology,Placed
STU_00033,7.29,1,0,1,86.0,65.5,0,1,76.4,76.5,Male,Mechanical,Placed
STU_00034,6.24,0,2,1,96.1,70.6,0,1,63.8,72.3,Male,Mechanical,Not Placed
STU_00035,8.12,1,2,2,67.5,80.9,0,1,68.9,81.5,Female,Information Technology,Placed
STU_00036,,1,4,0,62.2,66.9,0,1,85.0,67.1,Female,Civil,Placed
STU_00037,7.51,0,2,0,75.1,78.8,1,1,82.6,58.7,Female,Electronics,Placed
STU_00038,5.34,2,1,1,71.9,86.0,0,1,50.1,77.2,Male,Information Technology,Placed
STU_00039,5.97,0,2,3,62.5,65.9,0,1,75.7,87.3,Male,Civil,Placed
STU_00040,,1,1,2,77.1,100.0,0,0,76.6,67.9,Male,Computer Science,Placed
STU_00041,8.04,1,1,0,84.1,89.0,0,1,68.9,83.6,Male,Information Technology,Placed
STU_00042,7.47,0,1,0,58.2,75.3,0,0,76.6,82.4,Female,Information Technology,Placed
STU_00043,7.18,0,1,2,,69.8,0,1,81.9,92.2,Male,Civil,Placed
STU_00044,7.0,0,2,0,47.0,65.3,0,1,85.2,95.5,Male,Computer Science,Not Placed
STU_00045,5.82,1,3,0,57.2,91.9,0,1,79.0,81.4,Female,Electronics,Placed
STU_00046,6.58,1,3,0,73.5,74.5,1,1,84.5,73.7,Male,Information Technology,Placed
STU_00047,6.84,0,0,1,100.0,54.7,1,1,78.1,57.2,Female,Information Technology,Placed
STU_00048,8.36,0,0,1,61.6,51.5,0,1,55.2,85.7,Male,Information Technology,Placed
STU_00049,7.64,0,1,0,54.0,73.3,1,1,76.7,87.4,Female,Electronics,Placed
STU_00050,5.54,1,1,1,78.2,73.6,1,1,65.7,72.2,Female,Electronics,Placed
STU_00051,7.62,1,0,0,66.3,61.0,0,0,79.1,78.9,Female,Computer Science,Placed
STU_00052,6.91,0,1,1,80.0,53.8,0,1,75.8,63.7,Male,Computer Science,Not Placed
STU_00053,6.62,1,2,1,68.9,48.4,1,1,75.7,68.4,Female,Mechanical,Placed
STU_00054,7.91,0,2,1,57.1,62.9,0,1,69.6,60.5,Male,Mechanical,Placed
STU_00055,8.33,2,2,0,100.0,67.6,0,1,74.0,78.0,Female,Electronics,Placed
STU_00056,8.23,2,1,1,25.7,80.3,0,1,81.1,70.6,Male,Information Technology,Placed
STU_00057,6.46,1,2,1,97.3,70.4,0,1,68.9,88.7,Female,Electronics,Placed
STU_00058,6.99,2,3,1,84.0,84.8,0,1,71.8,77.6,Male,Mechanical,Placed
STU_00059,7.63,2,1,1,58.8,79.3,0,1,60.5,78.9,Female,Mechanical,Placed
STU_00060,8.28,2,0,1,98.1,78.2,0,0,80.8,75.1,Female,Civil,Placed
STU_00061,6.82,1,1,0,49.4,83.8,1,1,65.2,92.4,Female,Mechanical,Placed
STU_00062,7.11,0,0,0,85.1,55.4,1,0,78.3,91.0,Female,Computer Science,Placed
STU_00063,6.19,0,2,0,38.8,65.6,1,1,85.1,73.1,Female,Civil,Placed
STU_00064,6.1,0,1,1,52.8,100.0,0,0,90.7,78.3,Female,Civil,Placed
STU_00065,8.11,1,2,1,52.8,49.1,0,1,74.8,90.6,Female,Information Technology,Placed
STU_00066,8.66,0,1,2,58.7,68.4,0,1,84.2,62.1,Male,Mechanical,Placed
STU_00067,7.23,0,2,1,70.2,77.7,0,1,77.9,78.3,Male,Mechanical,Placed
STU_00068,8.3,1,0,2,57.6,49.5,0,1,59.3,71.1,Female,Civil,Placed
STU_00069,7.66,0,2,0,39.5,63.0,0,1,63.1,91.2,Male,Electronics,Placed
STU_00070,6.65,1,1,0,77.0,96.0,0,0,86.5,80.8,Male,Computer Science,Placed
STU_00071,7.66,2,0,2,70.7,74.0,0,0,89.6,55.9,Female,Mechanical,Placed
STU_00072,8.84,1,3,0,76.1,65.1,1,1,56.8,70.4,Male,Electronics,Placed
STU_00073,7.26,1,2,1,72.6,74.5,0,0,81.3,90.4,Male,Mechanical,Placed
STU_00074,8.86,1,0,0,84.3,65.1,1,1,80.7,84.8,Female,Electronics,Placed
STU_00075,5.0,1,2,2,68.9,92.6,1,1,70.0,63.5,Female,Computer Science,Placed
STU_00076,8.12,0,2,1,85.2,60.1,0,0,70.1,64.2,Male,,Placed
STU_00077,7.39,2,2,0,58.4,65.7,1,1,67.4,75.9,Male,Computer Science,Placed
STU_00078,7.0,0,1,1,59.2,54.1,1,1,58.8,74.4,Male,Computer Science,Placed
STU_00079,7.39,0,3,0,90.6,68.5,0,1,67.5,72.2,Female,Information Technology,Placed
STU_00080,5.31,1,1,2,90.3,69.9,1,1,85.0,70.6,Male,Civil,Placed
STU_00081,7.08,0,1,0,78.6,86.3,1,1,74.5,68.5,Male,Mechanical,Placed
STU_00082,7.66,0,1,1,56.7,59.8,0,0,85.3,99.0,Female,Mechanical,Placed
STU_00083,8.78,0,2,0,55.5,77.8,1,1,58.0,71.0,Female,Electronics,Placed
STU_00084,6.78,0,3,2,89.9,73.0,0,1,82.4,67.7,Female,Information Technology,Placed
STU_00085,6.49,0,3,2,89.1,49.3,1,0,85.8,80.6,Male,Mechanical,Placed
STU_00086,6.8,0,2,2,69.0,63.3,1,0,51.9,73.9,Male,Computer Science,Placed
STU_00087,8.22,1,4,2,100.0,62.8,0,1,72.7,64.9,Male,Mechanical,Placed
